type	name	expr	cut
1D	y_nocut	y	mass>2.6 && mass<3.5
1D	y_by_rap_fwd	y	(pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(mass>2.6 && mass<3.5)
1D	y_by_rap_mid	y	(pt>6.5 && fabs(y)<1.6)&&(mass>2.6 && mass<3.5)
1D	y_by_rap_all	y	(pt>6.5 && fabs(y)<2.4)&&(mass>2.6 && mass<3.5)
1D	pt_nocut	pt	mass>2.6 && mass<3.5
1D	pt_by_rap_fwd	pt	(pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(mass>2.6 && mass<3.5)
1D	pt_by_rap_mid	pt	(pt>6.5 && fabs(y)<1.6)&&(mass>2.6 && mass<3.5)
1D	pt_by_rap_all	pt	(pt>6.5 && fabs(y)<2.4)&&(mass>2.6 && mass<3.5)
1D	mass_by_rap_fwd	mass	(pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(mass>2.6 && mass<3.5)
1D	mass_by_rap_mid	mass	(pt>6.5 && fabs(y)<1.6)&&(mass>2.6 && mass<3.5)
1D	mass_by_rap_all	mass	(pt>6.5 && fabs(y)<2.4)&&(mass>2.6 && mass<3.5)
1D	mass_by_rap_ptU50_fwd_pt3to50	mass	((pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(pt<=50))&&(mass>2.6 && mass<3.5)
1D	mass_by_rap_ptU50_mid_pt6p5to50	mass	((pt>6.5 && fabs(y)<1.6)&&(pt<=50))&&(mass>2.6 && mass<3.5)
1D	mass_by_rap_ptU50_all_pt6p5to50	mass	((pt>6.5 && fabs(y)<2.4)&&(pt<=50))&&(mass>2.6 && mass<3.5)
1D	mass_by_ptbins_rap_fwd_pt3to6p5	mass	((pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(pt>3 && pt<6.5))&&(mass>2.6 && mass<3.5)
1D	mass_by_ptbins_rap_fwd_pt6p5to9	mass	((pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(pt>6.5 && pt<9))&&(mass>2.6 && mass<3.5)
1D	mass_by_ptbins_rap_fwd_pt9to12	mass	((pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(pt>9 && pt<12))&&(mass>2.6 && mass<3.5)
1D	mass_by_ptbins_rap_fwd_pt12to15	mass	((pt>3 && fabs(y)>1.6 && fabs(y)<2.4)&&(pt>12 && pt<15))&&(mass>2.6 && mass<3.5)
