idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	12	25	3	5	1	0.5
1	-10	-5	18	25	7	8	2	0.7
2	-5	-3	17	25	6	4	6	0.6
3	-3	-2	25	25	7	15	2	0.41176471
4	-2	-1	116	25	48	45	13	0.82758621
5	-1	-0.5	371	25	176	135	36	1.0292398
6	-0.5	-0.25	1682	37	891	520	163	1.3045388
7	-0.25	-0.1	16123	100	12111	2558	863	3.5401929
8	-0.1	0	364520	100	332798	17294	6500	13.986635
9	0	0.1	419727	100	375793	23159	8387	11.91254
10	0.1	0.25	83370	100	63130	13819	3170	3.7159338
11	0.25	0.5	69311	100	52133	12636	2127	3.5313283
12	0.5	1	55852	100	41622	10885	1520	3.35526
13	1	2	22012	100	15989	4810	558	2.9785768
14	2	3	2002	44	1331	575	43	2.1537217
15	3	5	177	25	96	70	4	1.2972973
16	5	10	26	25	17	7	2	1.8888889
17	10	20	5	25	4	1	0	4
